ing,taas
Chopstick,Naak-Oraak
Chord,Ofahnir
Chortle,Jeh
Chorus,Worah
Chosen,Unadaan
Chowder,Qaavbros
Chronicle,Teymaak
Chuckle,Jeh
Chunk,Malur
Church,Kirkah
Churn,Peil
Cider,Hildlom
Cigar,Veydoraak
Cigarette,Malveydoraak
Cinnamon,Maakrindah
Cipher,Vulsik
Circle,Kenlok
Circlet,Kirkel
Circuit,Rikahtus
Circular,Kenlokus
Circumstance,Draknah
Cisgender,Rinveiliin
Cislunar,Iilah-Nil
Cistern,Tiizak
Citadel,Anhiim
Citizen,Tursaal
Citizenship,Tursaaldein
Citrine,Sursogaal
City,Hiim
Civil,Tursaaluv
,noun
Civilian,Tursaal
Clad,Riivei
Claim,Piraan
Claimant,Piraad
Clairvoyance,Froloktiid
Clam,Kunukin
Clamor,Buush
Clan,Brod
Clandestine,Soven
Clang,Buush
Clannfear,Kahnezah
Clap,Haalz
Clapper,Haalziik
Clarification,Gelaarend
Clarify,Gelaar
Clarity,Baarom
Clash,Keinul
Clash,Buush
Clasp,Rudvim
Class,Vorul
Classic,Latiid
Classroom,Mindah-Weyt
Clatter,Sokoh
,noun
Claw,Jusk
Clawless,Jusknu
Clay,Ahgil
Claymore,Lotzahkrii
Clean,Shun
Cleaner,Shuniik
Cleanse,Shun
Clear,Baar
Clear,Voluk
Cleave,Kliiz
Cleaver,Slentuz
Clef,Nivosevild
Clench,Hiik
Clergy,Rahmun
Cleric,Rahmun
Clerical,Rahlunkei
Clerk,Solgaaz
Clever,Fax
Click,Tahto
Cliff,Grindol
Climate,Loksestaad
Climatology,Hahselok
Climb,Ruknaar
Cling,Kliif
Cloak,Roodam
Clock,Tiidfuniik
Clockwork,Sothah
Clog,Kotend
Clone,Fiikmeyar
Clop,Sokoh
Close,Strin
Close,Lovun
Closeness,Lovunaar
Cloth,Riiv
Clothed,Riivei
Clothes,Riived
Clothing,Riived
Cloud,Gram
Cloudy,Gramus
Clover,Tirvah
Club,Tokah
Clue,Daarz
Clueless,Daarznu
Clumsy,Fomus
Cluster,Kungah
Clutch,Rudvim
Clutter,Hekzah
Coal,Kirg
Coarse,Klofraan
Coast,Vaknor
Coaster,Ahleksevmah
Coat,Kelm
Cobblestone,Vildven
Cobra,Dahralvith
Cock,Rokmah
Cockatrice,Viijun
Cockerel,Rokmah
Cocoa,Kalaas
Coconut,Liik-Golz
Cocoon,Qahrus
Coda,Lovaasmah
Code,Vulsik
Coerce,Verluz
Coffee,Vopraan-Piin
Coffin,Viirpraan
Coil,Sahsir
Coin,Kerf
Coincidence,Grozeindez
Cold,Krah
Coliseum,Lotgrahstaad
Collapse,Tumah
Collar,Ruuslid
Colleague,Krosfahdon
Collect,Skoz
Collection,Edrah
Collective,Skozriin
College,Mindaziir
Collide,Kosaat
Collision,Kosaatak
Colony,Uthim
Color,Fahin
Colosseum,Lotgrahstaad
Colossus,Lotsunvaar
Colour,Fahin
Colt,Keyraan
Column,Haar
Coma,Alunlaag
Combat,Vukein
Combination,Hilkaan
Combine,Hilk
Come,Bo
Comedian,Moorimiik
Comedy,Moorim
Comely,Buldus
Comet,Fofil
Comfort,Sulvek
Comfortable,Sulvekaal
Comic,Yirtey
Comical,Moorus
Comissioner,Vahlusendaar
Command,Uth
Command,Kinbokrot
Commemorate,Vahrukiv
Commemoration,Vahrukiv
Commence,Gonaas
Commend,Lotdraal
Comment,Ofunlor
Commission,Vahlusend
Commit,Drah
Commitment,Drahlaat
Commmoner,Vonumiik
Commodity,Feluk
Common,Vonum
Commonplace,Vonum
Communal,Nahlimaaruv
Communicate,Zulvoth
Communication,Zulvoth
Communion,Geind
Communism,Pahpiraak
Communist,Pahpiraak
Community,Nahlimaar
Compact,Vanras
Companion,Zeymahzin
Companionship,Zeymahzinmaar
Compare,Vothnaar
Compass,Bromaak
Compassion,Tasnah
Compel,Skildir
Compendium,Drezujah
Compensate,Vothoris
Compensation,Sovaat
Compete,Faant
Competition,Faantak
Competitor,Fantiik
Complain,Galv
Complement,Dremet
Complete,Ulaan
Complete,Geblaan
Complex,Votrul
Compliance,Kolovend
Complicated,Votrul
Compliment,Guriid
Comply,Kolov
Component,Malur
Compose,Raavun
Composition,Korin
Compound,Geind
Comprehend,Mindoraan
Comprehensible,Vismindoraan
Comprehension,Mindoraan
Comprehensive,Ulaan
Compress,Pogaad
Compromise,Vahlukad
Computer,Rihahdrim
,noun
,noun
,noun
Con,Meyvit
Conceal,Ilos
Concentrate,Morah
Concentration,Morah
Concentric,Kenlokah
Concept,Zaak
Conception,Gonmaar
Concern,Hahvoth
Concern,Hahvaas
Concert,Korvoth
Concise,Strilor
Concision,Strilorend
Conclude,Urzun
Concrete,Hahgolt
Concur,Koraavmed
Condemn,Zaal
Condemnation,Zaalak
Condense,Pogaad
Condition,Delahmul
Condition,Vensekos
Condolence,Aavrosii
Conduct,Drelaaz
Conductor,Dolkeyin
Cone,Jeyzok
Confess,Vothlo
Confidence,Pahsu
Confident,Pahsunaal
Confidential,Jormaar
Confine,Kogron
Confinement,Kogron
Confirm,Daazrii
Confiscate,Kuzuth
Conflict,Fokein
Conform,Kolov
Conformation,Kolovend
Confront,Krilon
Confuse,Jeyk
Confusion,Jeydahk
Congest,Kotend
Congestion,Kotend
Congratulate,Forun
Congratulation,Foruniis
Congratulations,Foruniis
Congress,Valkragrind
Conifer,Laakis
Coniferous,Galiko
Conjecture,Kronlorot
Conjoin,Gevoth
Conjuration,Belend
Conjure,Belvut
Conjurer,Beliik
Conlang,Wahlzul
Connect,Gevoth
Connection,Gevothend
Conquer,Kron
Conqueror,Kroniid
Conquest,Krongrah
Conscience,Hahleit
Consecrate,Gerevak
Consecutive,Boriigaar
Consent,Orlaav
Consent,Orlaavend
Consequence,Volzahdroz
Consequent,Mindun
Conservative,Zahniruv
Conserve,Zahnir
Consider,Miinahsul
Considerable,Vimiinahsul
Consist,Raavun
Console,Franvoth
Consonance,Hezhonaat
Consonant,Hezhonaat
Conspiracy,Neyrok
Conspire,Nivurot
Constant,Bestandii
Constellation,Filsiin
Constitution,Korin
Constrain,Skildir
Constrainer,Morkoniid
Construct,Wahl
Construct,Wahlaan
,noun
Construction,Wahlaan
Consult,Vothlorot
Consume,Naak
Consumer,Naakin
Consumerism,Birbahlok
Consummate,Kavrot
Contact,Vothaalvut
,noun
,noun
Contain,Kopiraak
Container,Bexaat
Contend,Vothmul
Content,Vinurah
Content,Korin
Contest,Vothjur
Continent,Ozinkrel
Continental,Ozinkreluv
Continue,Fahbo
Continuous,Meykovei
Contra-Bass,Thulovaas
Contract,Kalyul
Contrary,Vovoth
Contribute,Enfavoth
Control,Imaar
Controversy,Ahstiroz
Convalesce,Vokras
Converge,Pogein
Convergence,Pogein
Conversation,Tinvaak
Conversational,Tinvaakuv
Converse,Tinvaak
Convert,Uzur
Convey,Fumrii
Convict,Noraasik
Cook,Yahnol
Cook,Yahnoliik
Cooker,Yahnoliik
Cookie,Sufolbrot
Cool,Krahus
Cooper,Beyliir
Cooperate,Pahrak
Cooperation,Pahrak
Cooperative,Pahrakal
Copious,Posiil
Copper,Mard
Coppice,Jinah
Copse,Jinah
Copy,Laniz
Copycat,Laniziik
Copyright,Jormaar-Kroson
Coral,Golzokaaz
Cordial,Pruzahvun
Core,Mithil
Corn,Kern
Corner,Kahtu
Cornucopia,Zahksenorgraz
Corporeal,Kopraanuv
Corpse,Naas
Correct,Folov
Corrode,Moskir
Corrosive,Moskirus
Corrupt,Kroved
Corrupt,Zokroved
Corruption,Krasfaal
Corruptive,Krasfaalkei
Corundum,Prulogel
Coruscate,Dortiis
Cosmic,Pahleinuv
Cosmology,Hahselein
Cosmos,Lein
Cost,Soviis
Cotton,Kathral
Couch,Faskpravoz
Cough,Aaksu
Could,Vust
Council,Relahmik
Counsel,Mindiir
Count,Tii
Count,Jusktii
Counter,Tegal
Counterfeiter,Meyvitaan
Counterpart,Med-Zeymah
Countless,Tiinu
Country,Nor
Courage,Ahkrin
Courageous,Krin
Courier,Funrahiik
Course,Rahlo
Court,Relahmik
Cousin,Erkriin
Couth,Bavir
Cove,Gaal
Coven,Sosinmaar
Covenant,Rahvahriin
Cover,Dunaak
Cow,Boz
Coward,Nikriin
Cowardice,Nikrinaar
Cowardly,Nivahriin
Cowboy,Bozveliik
Cower,Motaas
Cowgirl,Bozveliik
Cowl,Dahral
Coyote,Tovitahgrohiik
Cozy,Muf
Crab,Nik
Crack,Nivosevild
Crackle,Kresel
Cradle,Riiveis
Craft,Zir
Crafty,Eyliil
Crag,Kol
Cramp,Romkin
Crane,Lingrahmos
Crap,Draaf
Crappy,Draafus
Crash,Krenmah
Crater,Golraf
Craterous,Golrafus
Crave,Frilin
Crawl,Ahkrop
Crawler,Ahkropiik
Crawly,Ahkropus
Crazed,Naariv
Crazy,Naariv
Cream,Paagliik
Create,Wahl
Created,Wahlaan
Creation,Kiindah
Creative,Wahluv
Creativity,Wahliig
Creator,Wahliik
Creature,Ulfah
Credit,Mahnad
Creed,Oron
Creek,Bahyek
Creep,Ahkrop
Creeper,Ahkropiik
Creepy,Ahkropus
Cremate,Kopraanag
Cremation,Kopraanag
Crescent,Ruvuk
Crest,Qahlon
Crevice,Nivosevild
Crew,Joraas
Crib,Kleyt
Cricket,Naat-Niiv
Crier,Luvmahliik
Crime,Vosod
Criminal,Vosodiik
Crimson,Sahqon
Crisis,Faastiid
Crisp,Hopik-Bonaak
Critic,Bulniid
Criticism,Bulnedak
Criticize,Bulned
Crocodile,Krozol
Crone,Kerl
Crook,Krek
Crooked,Krel
Crop,Bes
Cross,Trax
Cross,Hok
Cross-guard,Hokdeiniik
Crossbow,Runaz
Crossdress,Krizkaraas
Crossdresser,Krizkarasiik
Crossing,Hokaat
Crossway,Hokaat
Crouch,Krog
Crow,Olm
Crowd,Feyal
Crowded,Joraan
Crown,Du'ul
Crucifix,Trax
Crucifixion,Traxaav
Crucify,Traxaav
Crude,Graar
Cruel,Munax
Cruelty,Nax
Crumb,Malkip
Crumble,Tumah
Crunch,Krumon
Crunchy,Krumonus
Crusade,Vaaril
Crush,Gunaar
Crust,Daput
Crusty,Daputus
Cry,Luvmah
Cryomagma,Fogoraag
Cryovolcano,Fostrunmah
Crypt,Kriitah
Cryptic,Digol
Crystal,Yostrah
Crystalline,Yostrahuv
Cub,Loz
Cube,Hirk
Cucumber,Graagmahleyn
Cuddle,Fadaav
Cuddly,Fadaavus
Cudgel,Birvog
Cuirass,Qahdtus
Cult,Zaag
Cultist,Zaagin
Cultivate,Naavar
Culture,Reyliik-Hil
Cunning,Qolor
Cunning,Eyliil
Cup,Beyl
Cupcake,Pusufolbrot
Cure,Vokras
Curfew,Thuntiid
Curious,Ferviit
Curiousity,Kusaar
Curled,Krel
Curmudgeon,Ahzidiik
Currency,Yuld
Current,Fautiid
Current,Ven
Curse,Dur
Cursed,Duraal
Cursor,Praak-Ronaaz
Curtain,Vundonin
Curve,Vug
Curved,Krel
Curvy,Vugus
Custom,Hahtaar
Customary,Revkoronuv
Customize,Genum
Cut,Vey
Cute,Qiib
Cutie,Qibiik
Cutlass,Krelzahkrii
Cyan,Biigraag
Cyborg,Geltlaas-Mun
Cycle,Kenlik
Cyclist,Zirokeyd
Cyclone,Morwuld
Cylinder,Faarkenlok
Cymbal,Grosithul
Cynic,Kunikos
Cyrodiil,Sarodaal
Cyrodiilic,Sarodaaluv
Daedra,Deyra
Daedric,Deyruv
Dagger,Dalk
Daggerfall,Ranemaar
Daily,Sulus
Dainty,Hiraas
Daisy,Welon
Dam,Volkaan
Damage,Aax
Damn,Ruth
Damn,Vik
Damnation,Vik
Damp,Lomiiz
Dance,Tanz
Dancer,Tanziik
Dandelion,Venosley
Danger,Rut
Dangerous,Rutkei
Dare,Krilon
Daresay,Tinvaakril
Dark,Vul
,noun
Darken,Gevul
Darkness,Vulom
Dart,Ruzaak
Dash,Nelru
Data,Tokaaneiziid
Date,Zahtiid
Daughter,Mon
Daunt,Vulaas
Daunting,Zovulaas
Dawn,Vu
Dawnguard,Vudeinmaar
Dawnstar,Bromlom
Day,Sul
Daydream,Verwahsar
Daylight,Shulkun
Dazzle,Sujir
,noun
Dead,Dilon
Deadly,Dilos
Deaf,Honvu
Deafen,Honvu
Deal,Sent
Dear,Shir
Dearth,Oraas
Death,Dinok
Deathbed,Dinok-Praan
Deathly,Dinokus
Debase,Taargu
Debatable,Pogaan-Luft
Debate,Graat
Debris,Taavin
Debt,Fozir
Decade,Meneruvos
Decapitate,Voklov
Decay,Nev
Deceit,Lozaan
Deceitful,Loziik
Deceive,Lo
Deceiver,Loaan
December,Vulonfil
Decency,Ufirzah
Decent,Ufir
Deception,Lo
Deceptive,Loziik
Decide,Komaan
Decimate,Vald
Decimation,Valdak
Decipher,Vodigol
Decision,Komaan
Decisive,Komandaal
Deck,Brek
Declaim,Kovaat
Declaration,Kopirot
Declare,Kopiraan
Declaw,Vojusk
Decline,Denos
Decompress,Vopogaad
Decompression,Vopogaad
Decorate,Setjah
Decoration,Setjahl
Decorative,Setjahluv
Decouple,Vonaav
Decoy,Meykrazahd
Decrease,Geson
Decree,Zothunrot
Decrepit,Sahlovik
Decrypt,Vodigol
Dedicate,Selvakor
Deed,Sod
Deem,Ned
Deep,Dil
Deer,Driin
Deface,Aldwiirok
Default,Qurnen
Default,Nesiik
Defeat,Viik
Defend,Bild
Defender,Bildiik
Defense,Bildrun
Defiance,Vogahriin
Defiant,Vogahvonlot
Defile,Kroved
Defiled,Zokroved
Define,Pelaak
Definite,Reistig
Definiteness,Reistigaar
Definition,Pelaak
Definitive,Reistig
Deflect,Strakaar
Deft,Osk
Defy,Vogahvon
Degenerate,Vojahfir
Degeneration,Volirend
Degrade,Taargu
Degree,Yosel
Deicide,Rahkrii
Dejected,Duyiiv
Delay,Saraan
Delegate,Valkralin
Delicate,Fask
Delicateness,Faskom
Delicious,Duliig
Delight,Genaz
Delight,Laaf
Delightful,Zolaaf
Deliver,Kelnat
Dell,Feykros
Delusion,Hahnurov
Demand,Fusrot
Demeanor,Vensedren
Demented,Saanahaal
Dementia,Saanhah
Demigod,Hefrah
Demise,Dukiin
Democracy,Relsejoriin
Demolish,Skag
Demon,Hokzii
Demonic,Hokziinus
Demonstrate,Genunvir
Den,Praav
Denial,Qahnaar
Denizen,Staak
Denote,Miistir
Dense,Pogaad
Dent,Pukreh
Dentist,Vahraanrax
Deny,Qahnaar
Deodorant,Vopook
,noun
Depart,Lif
Departure,Lif
Depend,Rivun
Dependent,Rivunaal
Depict,Fosrik
Deplore,Nizeylum
Depose,Vodul
Depravity,
Depress,Lingrahso
Depression,Lingrahso
Deprive,Dumor
Depth,Rud
Deride,Wiiv
Descend,Tumbo
Descendant,Lingrahkiir
Describe,Pelaak
Description,Pelaak
Desecrate,Vorevak
Desert,Vodein
Desert,Sendaar
Deserve,Qaariv
Design,Komiin
Designate,Miistir
Desirable,Vitolaan
Desire,Tolaan
Desk,Krosbord
Desolate,Duvoziir
Desolation,Nevonaar
Despair,Ath
Desperate,Athaal
Despise,Kervaaz
Despite,Thraat
Despoil,Dustraan
Dessert,Mindin-Kipraan
Destination,Wundun-Oblaan
Destine,Dez
Destiny,Dez
Destitute,Nuvistul
Destroy,Al
Destroyer,Al
Destruction,Gral
Desuetude,Vobrah
Detached,Voniir
Detail,Pelaak
Detail,Puvah
Detect,Koraavut
Detector,Koraavutaan
Deter,Vogekrin
Determination,Maankiraak
Determine,Urzun
Determined,Maankir
Detest,Kervaaz
Dethrone,Vodul
Devastate,Modokraan
Devastation,Gral
Develop,Jahfir
Development,Jahfir
Device,Drahvut
Devil,Zaunig
Devious,Fax
Devise,Drahvut
Devolve,Ofalaan
Devote,Selrak
Devour,Du
Devourer,Duaan
Devout,Selor
Dew,Sahluv
Dexterity,Asaar
Dexterous,Aas
Diagonal,Nulaz
Dial,Vuldrod
Dialect,Marul
Diameter,Pahyaav
Diamond,Maant
Diary,Pelgah
Dice,Dirkah
Dictate,Malas
Dictator,Pahrelin
Dictatorship,Pahrelinaar
Dictionary,Sikdey
Did,Drey
Die,Dir
Die,Dirkah
Differ,Dumed
Difference,Dumedak
Different,Vomedaas
Difficult,Buruk
Difficulty,Leik
Dig,Deyvut
Digest,Kipah
Digestion,Kipah
Digger,Deyvutiik
Digit,Diitak
Digital,Qomorahuv
,noun
Dignity,Meyfir
Dilemma,Jeykiiv
Dill,Grenvah
Dim,Murun
Dimension,Olaak
Diminish,Liivrah
Dine,Prunaak
Dinner,Prazaak
Dinosaur,Siigonisaak
Dint,Pukreh
Diode,Rigeinbo
Dip,Endil
Diploma,Hahsok-Du'ul
Diplomat,Norzaar
Dire,Riid
Direct,Raak
Direction,Moraan
Director,Moriik
Dirge,Krosilov
Dirt,Thok
Dirty,Thokus
Disable,Nivos
Disadvantage,Vokrantok
Disagree,Vorolur
Disallow,Nivos
Disappear,Vognun
Disappoint,Vosotiiv
Disappointed,Vosotivaal
Disappointment,Vosotiiv
Disapprove,Nizeylum
Disarm,Duzun
Disarray,Thesk
Disaster,Gral
Disavow,Duvaat
Disbelief,Vokoraak
Disbelieve,Vokorah
Discard,Fusond
Discern,Lahfraan
Discernible,Volos
Discharge,Fustir
Disciple,Ventovitaan
Discipline,Hahsok
Discipline,Delah
Disclose,Gemindok
Disconcert,Vodremt
Disconnect,Vogevoth
Discontent,Ninurah
Discontinue,Vofahbo
Discord,Vodrem
Discourage,Vogekrin
Discouraged,Vokrin
Discourse,Lingrot
Discover,Nahkiv
Discovery,Nahkivaar
Discredit,Vomahnad
Discredited,Vomahnad
Discus,Fusk-Vogil
Discuss,Tinvaak
Discussion,Tinvaak
Disdain,Kervaaz
Disease,Krasnovaar
Disembowel,Veyko
Disenchant,Vogelah
Disgrace,Vodun
Disgraceful,Vozodun
Disguise,Vordaas
Disgust,Krastov
Dish,Shuv
Dishonor,Dukaan
Dishonorable,Vozinaal
Dishonored,Dukaan
Dishwasher,Shuv-Shun
Disk,Vogil
Dislike,Vomos
Disloyal,Vomid
Disloyalty,Vomidrot
Dismember,Vofaak
Dismiss,Fusond
Dismount,Vogoz
Disobedience,Vothaarn
Disobedient,Thaarnu
Disobey,Vothaar
Disorder,Volbur
Disorderly,Volburaal
Disorganized,Vovorstaal
Disown,Volaav
Dispatch,Komeyt
Dispel,Vostavek
Disperse,Volahvraan
Dispirited,Vokrin
Displace,Voris
Display,Genun
Disposition,Nivorn
Dispossess,Vopiraak
Disputant,Dilahiik
Dispute,Dilah
Disregard,Voned
Disrespect,Vofir
Disrespectful,Vofir
Disrobe,Vokaraas
Disrupt,Diinek
Disruption,Kropahvok
Disruptive,Diinektaas
Dissent,Vorlaav
Disservice,Vahmik
Dissimilar,Vomedaas
Dissipate,Volahvraan
Dissociate,Krenvaast
Dissolve,Volusvaan
Dissonance,Ahzidhonaat
Dissonant,Ahzidhonaat
Dissuade,Vogekrin
Distance,Gutom
Distant,Hud
Distillery,Jumstaad
Distinguish,Volo
Distinguishable,Volos
Distort,Luwey
Distortion,Luwend
Distract,Irud
Distraction,Irudak
Distrust,Vonov
Disturb,Vodremt
Disturbance,Kropahvok
Disuputer,Dilahiik
Disuse,Vobrah
Ditch,Nebeniit
Ditty,Malovaas
Dive,Bovut
Diversion,Irudak
Divert,Irud
Divide,Krenok
Divination,Prodaan
Divine,Stahdim
Diviner,Nahgah
Division,Krenok
Divorce,Vo-Aavlaas
Divulge,Gemindok
Dna,Trahkiin-Veik
Do,Dreh
Docile,Nipaalus
Dock,Hadaak
Docker,Staalzer
Doctor,Vahraniik
Document,Pahelrot
Dodge,Unviig
Doe,Toraas
Does,Dreh
Dog,Dok
Dogma,Oron
Doleful,Sokei
Doll,Setkiirjor
Doloire,Tunihah
Dolphin,Okaaris
Dolt,Hinzaaljor
Domain,Deylok
Dome,Driivoh
Domestic,Hofkiinuv
Dominance,Rel
Dominant,Reldaal
Dominate,Rel
Domination,Rel
Dominion,Suleyksejun
Donate,Stinofan
Donation,Stinofan
Done,Drehlaan
Donkey,Eyron
Donut,Punkenlok
Doom,Daan
Doomed,Daniik
Doomsday,Suldaan
Door,Miiraad
Doorbell,Miiraadkriing
Doorway,Miiraad
Dormant,Praantaas
Dose,Kaaley
Double,Ziinan
,noun
,noun
Doubt,Grit
Doubter,Gritiik
Doubtful,Zogrit
Dough,Brothal
Doughnut,Punkenlok
Doughty,Krilzin
Dove,Lokrem
Down,Tum
Downfall,Tumah
Download,Rikofaal
Downside,Tumreid
Dowry,Aavlaas-Ofan
Draconic,Dovahruv
Draft,Suth
Drafty,Suthus
Drag,Sovut
Dragon,Dovah
,noun
,noun
,noun
,noun
,noun
Dragonblood,Sossedov
Dragonborn,Dovahkiin
Dragonfly,Snuk
Dragonguard,Dovahdaan
Dragonish,Dovahus
Dragonkind,Dov
Dragonling,Meydovah
Dragonstone,Dovahgolz
Drain,Vasik
Drape,Vundonin
Draugr,Qethgaaf
Draw,Verilir
Draw,Rinisur
Drawer,Malmiraad
Dread,Gruin
Dreadful,Zofaas
Dream,Hahnu
Dreamer,Hahnud
Dreamlike,Hahnus
Dreamy,Hahnus
Dremora,Vokendaar
Dress,Karaas
Dreugh,Dreyvgir
Dribble,Lomaan
Drift,Rokah
Drill,Muldeyto
,noun
Drink,Piin
Drinkable,Vipiin
Drinker,Piinaar
,noun
Drip,Lomaan
Drive,Kuyiz
Drone,Vomun
Drool,Nimahshik
Droop,Juros
Drop,Vosmah
Droppings,Draafraan
Drought,Luvnulok
Drown,Draak
Drug,Kolvas
Druid,Beylund
Drum,Mand
Drummer,Mandiik
Drunk,Teivo
Drunkard,Piniid
Dry,Renek
Dry,Kirt
Dubious,Zogrit
Duck,Aand
Duct,Rathol
Due,Toz
Duel,Ziinkrif
Duke,Maljun
Dull,Alunrinis
Duly,Toz
Dumb,Hinzaal
Dumbbell,Haalwid
Dummy,Meykrazahd
Dune,Sendahrol
Dung,Draafraan
Dungeon,Nebendein
Dunmer,Vulfahliil
Duo,Ziinmet
Duplicate,Laniz
Durable,Visgrolah
During,Ahstiid
Dusk,Tor
Dust,Viiz
,noun
Dusty,Viizus
Dutiful,Zoheyv
Duty,Heyv
DVD,Frahzoginvogil
Dwarf,Dilfahliil
Dwarfish,Dilfahliiluv
Dwarven,Dilfahliiluv
Dwell,Nahwan
Dwelling,Hof
Dwemer,Dilfahliil
Dwindle,Malzat
Dye,Loorah
Dying,Viir
Dynamic,Vomulhaan
Dynamite,Yoloraak
Dynasty,Ragnarei
E-book,Ridey
Each,Enook
Eager,Frin
Eagerness,Frin
Eagle,Okriim
Ear,Honiir
Earbud,Rihoniir
Earl,Maljun
Earlier,Usliik
Early,Vath
Earn,Lask
Earnest,Wiistel
Earnestness,Wiistelom
Earphone,Rihoniir
Earth,Gol
Earthbound,Goltgro
Earthly,Leinuv
Earthquake,Reinsegol
Earthworm,Golir
Ease,Forveyk
Ease,Lumvit
Easiness,Forveyk
East,Jer
Easterly,Jeruv
Eastern,Jeruv
Easy,Vahk
Eat,Naak
Eaten,Naako
Eater,Naakin
Eavesdrop,Girvolaan
Eavesdropper,Girvolaan
Ebony,Vugel
Eccentric,Zurun
Echelon,Leyk
Echo,Niirah
Eclipse,Vulok
Economic,Yuldikuv
Economics,Yuldik
Economist,Yuldikin
Economy,Yuldik
Ecstasy,Lotjiik
Ecstatic,Lotjiik
Ectoplasm,Gaafreyziin
Edge,Kes
Edgy,Balkus
Edible,Visnaak
Edit,Rediirah
Edition,Rediirend
Educate,Delah
Educator,Delahiik
Eel,Lomvith
Eerie,Kasiil
Effect,Droz
Effective,Drozaal
Effigy,Fotiid
Effort,Grav
Effortful,Zograv
Effortfully,Zogravaar
Effortless,Gravnu
Egg,Klur
Eight,Thiik
Either,Ahney
Eject,Funol
Elaborate,Taavoz
Elate,Genaz
Elbow,Bru
Elder,Zuwuth
,noun
Elect,Volkon
Election,Volkonend
Electric,Qomorah
,noun
,noun
,noun
Electrical,Qomorah
Electrician,Qomorahiik
Electricity,Qomorah
Electrified,Qumorahaal
Electromagnet,Rikaavgolz
Electromagnetic,Rikaavgolz
Electron,Rimalureyd
Electronic,Qomorah
Electrum,Zilfyuld
Elegy,Sokeikahriil
Element,Verin
Elemental,Verinrii
Elephant,Aalzon
Elevate,Gelok
Elevation,Lokom
Elevator,Gelokaat
Elf,Fahliil
Elicit,Drunkoros
Eliminate,Pahsaan
Elite,Pruzeim
Elixir,Galgur
Elk,Legaar
Ellipse,Beznan
Ellipsoid,Beznaneyd
Elliptical,Beznanus
Elm,Ulm
Elope,Weltir
Eloquence,Bovun
Eloquent,Bovun
Else,Voz
Elsewhere,Ahstaadvoz
Elsweyr,Kaasendaar
Elude,Vudoz
Elusive,Motmahus
Elven,Fahliiluv
Elves,Fahliil
Elvish,Fahliiluv
Email,Aaskraan
Embalm,Zahnirnaas
Embalming,Zahnirnaas
Embark,Bokur
Embarrass,Paakmey
Ember,Enkii
Emblem,Sileyz
Embodiment,Kopraanzii
Embolden,Gekrin
Emboss,Aathrok
Embossment,Juskov
Embrace,Mahlov
Emerald,Faziigolz
Emerge,Meyzah
Emergency,Faastiid
Emote,Noor
Emoticon,Noorsiin
Emotion,Noorend
Emotional,Noorendaal
Emotionless,Voniir
Empathy,Ofunsil
Emperor,Ulokuun
Emphasis,Feinrolt
Emphasize,Feinrolt
Empire,Lokoltei
Employ,Ahmil
Employee,Ahmilaat
Employer,Ahmiliik
Empower,Gronsuleyk
Empress,Ulokuun
Emptiness,Zahraanom
Empty,Zahraan
Enable,Vos
Enchant,Gelah
Enchanted,Gelahaan
Enchanter,Gelahiik
Enchantment,Gelahuz
Encircle,Gekenlok
Encounter,Korost
Encourage,Gekrin
Encouragement,Gekrintiil
Encrusted,Gedaputlaan
Encyclopedia,Deysemindah
End,Oblaan
,noun
Endanger,Verut
Endearing,Qiib
Endeavor,Vergrav
Endurable,Visgrolah
Endurance,Grolah
Endure,Grolah
Enduring,Lotiid
Enemy,Paalus
Enemy,Hokoron
Energetic,Zoglimrel
Energy,Glimrel
,noun
Enervate,Gelaag
Enforce,Uthaarn
Enforcer,Uthaarniik
Engage,Driik
Engaged,Ofir
Engine,Suleykmithil
Engineer,Drungeltlaas
English,Sarodaaluv
Engulf,Dunaak
Enigma,Digoliik
Enjoy,Kovir
Enjoyable,Zolaaf
Enlarge,Gesaak
Enlighten,Onikiv
Enlightenment,Onikiv
Enlist,Zahvraan
Enliven,Genaz
Enormous,Hotus
Enough,Ganog
Enrage,Gerahgol
Enrich,Gesaavir
Enslave,Imaar
Enslaved,Imaaraan
Ensnare,Horvutah
Ensorcel,Gelah
Ensue,Mindun
Enter,Haav
Entertain,Ofanjiik
Enthrall,Vahnuk
Enthusiasm,Forokir
Enthusiastic,Forokiraal
Entire,Ulaan
Entitlement,Qaar
Entity,Nahlii
Entomb,Geqoth
Entrance,Havaat
Entry,Havaat
Envelop,Gekenlok
Environment,Gekenlokin
Environmentalism,Spaanselund
Environmentalist,Spaanselund
Envoy,Norzaar
Envy,Miizun
Ephemeral,Frul
Epic,Kahriil
Epic,Kahrun
Epidemic,Urikras
Epithet,Tet
Epitome,Pruzeim
Equal,Rinid
Equalism,Rinidun
Equalize,Gerinid
Equator,Mithrei
Equinox,Rosul
Equip,Ket
Equipment,Ketak
Equipped,Ketaan
Equivalent,Med-Zeymah
Era,Feln
Erasable,Visaagis
Erase,Aagis
,adverb
Erode,Ahtiid
Erosion,Ahtiid
Erotic,Eliiruk
Err,Tozein
Errand,Ahsod
Error,Tozein
Ersatz,Oris
Erupt,Yolein
Eruption,Yolein
Escalator,Bostegniir
Escape,Filok
Escort,Aakit
Especially,Suranmiik
Essay,Mindahsik
Essence,Rii
Essential,Riilgaar
Establish,Rund
Estate,Hofnaar
Esteem,Balaas
Estimate,Suz
